Bars as the wire is truncated to its top K men at each slot (committed capture, fortnight)

  A — teams x count, clamped (ships)
    slot     K=3      K=5     K=10     K=25     K=50   full wire
    C         58.14    56.85    49.51    48.85    48.85    48.85
    1B        74.01    72.69    63.29    62.39    62.39    62.39
    2B        74.01    72.81    67.11    66.89    66.89    66.89
    3B        74.01    70.97    62.39    61.67    61.67    61.67
    SS        74.27    67.11    57.72    57.20    57.20    57.20
    OF        87.22    82.94    72.93    63.58    60.73    60.73
    Util      93.69    90.72    82.94    72.81    72.81    72.81
    SP        62.73    52.61    48.23    39.74    39.74    39.74
    RP        52.02    48.23    43.86    37.00    37.00    37.00
    P         62.73    52.61    49.21    39.74    35.34    35.34

  own — count deep
    slot     K=3      K=5     K=10     K=25     K=50   full wire
    C         62.12    62.12    62.12    62.12    62.12    62.12
    1B        87.78    87.78    87.78    87.78    87.78    87.78
    2B        74.27    74.27    74.27    74.27    74.27    74.27
    3B        81.08    81.08    81.08    81.08    81.08    81.08
    SS        77.93    77.93    77.93    77.93    77.93    77.93
    OF        87.22    84.39    84.39    84.39    84.39    84.39
    Util      93.69    93.69    93.69    93.69    93.69    93.69
    SP        62.73    62.73    62.73    62.73    62.73    62.73
    RP        52.02    52.02    52.02    52.02    52.02    52.02
    P         62.73    52.61    52.61    52.61    52.61    52.61

  B — the wire's best man
    slot     K=3      K=5     K=10     K=25     K=50   full wire
    C         75.04    75.04    75.04    75.04    75.04    75.04
    1B        90.72    90.72    90.72    90.72    90.72    90.72
    2B        95.18    95.18    95.18    95.18    95.18    95.18
    3B        95.18    95.18    95.18    95.18    95.18    95.18
    SS        82.94    82.94    82.94    82.94    82.94    82.94
    OF        95.18    95.18    95.18    95.18    95.18    95.18
    Util      96.74    96.74    96.74    96.74    96.74    96.74
    SP        73.56    73.56    73.56    73.56    73.56    73.56
    RP        73.56    73.56    73.56    73.56    73.56    73.56
    P         73.56    73.56    73.56    73.56    73.56    73.56
